Date,Close/Last,Volume,Open,High,Low
9/10/2019,$45.80 ,35281220,$44.80 ,$46.06 ,$44.70 
9/9/2019,$45.13 ,41752520,$44.98 ,$46.00 ,$44.96 
9/6/2019,$44.66 ,37697676,$44.70 ,$45.27 ,$44.28 
9/5/2019,$44.94 ,69648520,$43.22 ,$45.00 ,$43.20 
9/4/2019,$42.19 ,22812036,$41.65 ,$42.27 ,$41.65 
9/3/2019,$41.04 ,29651080,$41.15 ,$41.48 ,$40.81 
8/30/2019,$41.88 ,29090848,$42.22 ,$42.72 ,$41.70 
8/29/2019,$41.75 ,35837304,$41.23 ,$42.08 ,$41.19 
8/28/2019,$40.31 ,25582812,$40.15 ,$40.84 ,$39.75 
8/27/2019,$40.45 ,29154956,$41.75 ,$41.78 ,$40.16 
8/26/2019,$41.36 ,31859416,$41.40 ,$41.65 ,$40.98 
8/23/2019,$40.61 ,56949720,$42.10 ,$42.65 ,$40.41 
8/22/2019,$42.87 ,30375672,$42.91 ,$43.33 ,$42.48 
8/21/2019,$42.81 ,42791080,$42.63 ,$43.36 ,$42.42 
8/20/2019,$41.97 ,46352160,$42.64 ,$42.65 ,$41.76 
8/19/2019,$42.70 ,81632240,$41.03 ,$42.86 ,$40.87 
8/16/2019,$39.89 ,101538520,$39.84 ,$40.39 ,$39.22 
8/15/2019,$37.19 ,55446200,$37.71 ,$37.91 ,$36.85 
8/14/2019,$37.52 ,41988120,$38.13 ,$38.24 ,$37.08 
8/13/2019,$39.01 ,36051244,$37.85 ,$39.48 ,$37.46 
8/12/2019,$37.86 ,27920048,$38.02 ,$38.55 ,$37.64 
8/9/2019,$38.55 ,34181672,$39.15 ,$39.19 ,$38.04 
8/8/2019,$39.57 ,30929888,$39.05 ,$39.58 ,$38.48 
8/7/2019,$38.47 ,37256180,$37.48 ,$38.59 ,$37.30 
8/6/2019,$38.09 ,36127068,$38.45 ,$38.91 ,$37.61 
8/5/2019,$37.70 ,58915760,$38.45 ,$38.46 ,$37.23 
8/2/2019,$40.30 ,42834920,$40.30 ,$41.00 ,$39.82 
8/1/2019,$41.23 ,42121240,$42.29 ,$43.20 ,$40.71 
7/31/2019,$42.18 ,35941564,$43.55 ,$43.55 ,$41.76 
7/30/2019,$43.86 ,19777044,$43.24 ,$43.99 ,$43.09 
7/29/2019,$43.71 ,24816196,$43.70 ,$43.87 ,$42.82 
7/26/2019,$43.77 ,27415988,$43.62 ,$44.24 ,$43.62 
7/25/2019,$43.35 ,39269812,$44.25 ,$44.38 ,$43.11 
7/24/2019,$44.67 ,36623748,$44.35 ,$44.72 ,$43.59 
7/23/2019,$43.92 ,42817640,$43.23 ,$43.94 ,$43.07 
7/22/2019,$42.83 ,31593992,$42.33 ,$42.96 ,$42.25 
7/19/2019,$42.11 ,34489580,$42.93 ,$43.00 ,$42.05 
7/18/2019,$42.55 ,44317880,$42.53 ,$43.18 ,$41.96 
7/17/2019,$42.43 ,34820428,$41.79 ,$42.50 ,$41.49 
7/16/2019,$41.77 ,34144392,$41.67 ,$42.04 ,$41.21 
7/15/2019,$41.82 ,28983972,$42.12 ,$42.28 ,$41.53 
7/12/2019,$41.90 ,50639280,$41.85 ,$42.62 ,$41.85 
7/11/2019,$41.57 ,68255840,$40.75 ,$41.98 ,$40.38 
7/10/2019,$40.02 ,45207600,$39.77 ,$40.59 ,$39.63 
7/9/2019,$39.33 ,34286048,$38.88 ,$39.61 ,$38.75 
7/8/2019,$39.30 ,32978676,$39.46 ,$39.65 ,$39 
7/5/2019,$40.06 ,39655388,$40.10 ,$40.15 ,$39.42 
7/3/2019,$40.69 ,24663424,$40.79 ,$40.85 ,$40.09 
7/2/2019,$40.56 ,40022760,$41.38 ,$41.59 ,$40.43 
7/1/2019,$41.54 ,71153320,$43.14 ,$43.49 ,$41.17 
6/28/2019,$41.06 ,39766636,$41.25 ,$41.34 ,$40.59 
6/27/2019,$40.81 ,44544160,$40.68 ,$41 ,$40.32 
6/26/2019,$39.82 ,58407320,$39.15 ,$40.43 ,$39.02 
6/25/2019,$37.87 ,31186644,$38.22 ,$38.97 ,$37.84 
6/24/2019,$38.17 ,28294872,$38.16 ,$38.46 ,$37.68 
6/21/2019,$37.94 ,43442680,$38.38 ,$38.87 ,$37.88 
6/20/2019,$38.53 ,35016728,$39.19 ,$39.33 ,$38.38 
6/19/2019,$38.28 ,33164396,$38.58 ,$38.69 ,$38.02 
6/18/2019,$38.22 ,58191800,$36.88 ,$38.78 ,$36.77 
6/17/2019,$36.26 ,27604148,$36.14 ,$36.63 ,$35.91 
6/14/2019,$36.16 ,39442624,$36.13 ,$36.37 ,$35.71 
6/13/2019,$37.07 ,30808108,$36.77 ,$37.25 ,$36.60 
6/12/2019,$36.55 ,35889192,$37.25 ,$37.31 ,$36.40 
6/11/2019,$37.69 ,38387004,$37.71 ,$38.09 ,$37.29 
6/10/2019,$37.11 ,40278080,$36.94 ,$37.80 ,$36.94 
6/7/2019,$36.38 ,34885752,$36.01 ,$36.72 ,$35.81 
6/6/2019,$35.95 ,40813840,$35.36 ,$36.19 ,$35.34 
6/5/2019,$35.32 ,51161560,$36.49 ,$36.55 ,$34.96 
6/4/2019,$35.75 ,64183560,$34.09 ,$35.80 ,$33.87 
6/3/2019,$33.45 ,47864320,$33.98 ,$34.37 ,$33.15 
5/31/2019,$33.87 ,38971968,$34.29 ,$34.61 ,$33.85 
5/30/2019,$34.78 ,39429960,$35.08 ,$35.44 ,$34.39 
5/29/2019,$35.09 ,55980160,$35.35 ,$35.71 ,$34.74 
5/28/2019,$35.83 ,42835400,$36.47 ,$36.80 ,$35.81 
5/24/2019,$36.29 ,35758528,$37.02 ,$37.38 ,$36.22 
5/23/2019,$36.83 ,59184440,$37.42 ,$37.42 ,$36.23 
5/22/2019,$38.05 ,32586960,$38.38 ,$38.64 ,$37.94 
5/21/2019,$38.77 ,36184988,$38.55 ,$38.93 ,$38.16 
5/20/2019,$37.94 ,57206520,$38.14 ,$38.69 ,$37.69 
5/17/2019,$39.13 ,102206800,$39.63 ,$40.93 ,$38.74 
5/16/2019,$40.05 ,78108800,$39.84 ,$40.48 ,$39.41 
5/15/2019,$39.90 ,50232000,$39.95 ,$40.26 ,$39.35 
5/14/2019,$40.51 ,52487880,$40.01 ,$40.87 ,$39.62 
5/13/2019,$39.61 ,65691280,$40.88 ,$41.11 ,$39.45 
5/10/2019,$42.21 ,56949800,$42.24 ,$42.90 ,$41 
5/9/2019,$42.55 ,66024640,$42.79 ,$42.88 ,$41.35 
5/8/2019,$43.48 ,41916600,$43 ,$44.29 ,$42.88 
5/7/2019,$43.28 ,55521840,$44.48 ,$44.48 ,$42.79 
